stratum,granularity,outcome,column,comparison,U,p_raw,p_adj,significance,cliffs_delta
LOW,coarse,bugs_introduced,bugs_introduced,SE vs ML,,,,,
LOW,coarse,bugs_introduced,bugs_introduced,SE vs Hybrid,,,,,
LOW,coarse,bugs_introduced,bugs_introduced,ML vs Hybrid,41291.0,0.00012027690788623033,0.000360830723658691,***,-0.1781658954072747
LOW,coarse,vulnerabilities,vuln_bandit_issues_total,SE vs ML,,,,,
LOW,coarse,vulnerabilities,vuln_bandit_issues_total,SE vs Hybrid,,,,,
LOW,coarse,vulnerabilities,vuln_bandit_issues_total,ML vs Hybrid,58090.5,0.0007476777362734266,0.00224303320882028,**,0.15620241827138379
LOW,coarse,generic_code_smells_total,generic_code_smells_total,SE vs ML,,,,,
LOW,coarse,generic_code_smells_total,generic_code_smells_total,SE vs Hybrid,,,,,
LOW,coarse,generic_code_smells_total,generic_code_smells_total,ML vs Hybrid,50839.0,0.7979079668353756,1.0,,0.011872418768970492
LOW,coarse,ml_smells_total,ml_smells_total,SE vs ML,,,,,
LOW,coarse,ml_smells_total,ml_smells_total,SE vs Hybrid,,,,,
LOW,coarse,ml_smells_total,ml_smells_total,ML vs Hybrid,44141.0,0.00876381468078713,0.02629144404236139,*,-0.12144101109618351
LOW,coarse,deadcode_items_total,deadcode_items_total,SE vs ML,,,,,
LOW,coarse,deadcode_items_total,deadcode_items_total,SE vs Hybrid,,,,,
LOW,coarse,deadcode_items_total,deadcode_items_total,ML vs Hybrid,47425.0,0.22618336293625763,0.6785500888087729,,-0.056078021595262977
LOW,fine,vuln_bandit_issues_high,vuln_bandit_issues_high,SE vs ML,,,,,
LOW,fine,vuln_bandit_issues_high,vuln_bandit_issues_high,SE vs Hybrid,,,,,
LOW,fine,vuln_bandit_issues_high,vuln_bandit_issues_high,ML vs Hybrid,,,,,
LOW,fine,vuln_bandit_issues_low,vuln_bandit_issues_low,SE vs ML,,,,,
LOW,fine,vuln_bandit_issues_low,vuln_bandit_issues_low,SE vs Hybrid,,,,,
LOW,fine,vuln_bandit_issues_low,vuln_bandit_issues_low,ML vs Hybrid,58090.5,0.0007476777362734266,0.00224303320882028,**,0.15620241827138379
LOW,fine,vuln_bandit_issues_medium,vuln_bandit_issues_medium,SE vs ML,,,,,
LOW,fine,vuln_bandit_issues_medium,vuln_bandit_issues_medium,SE vs Hybrid,,,,,
LOW,fine,vuln_bandit_issues_medium,vuln_bandit_issues_medium,ML vs Hybrid,,,,,
LOW,fine,deadcode_items_attribute,deadcode_items_attribute,SE vs ML,,,,,
LOW,fine,deadcode_items_attribute,deadcode_items_attribute,SE vs Hybrid,,,,,
LOW,fine,deadcode_items_attribute,deadcode_items_attribute,ML vs Hybrid,51971.0,0.45785155552554946,1.0,,0.03440314474797233
LOW,fine,deadcode_items_class,deadcode_items_class,SE vs ML,,,,,
LOW,fine,deadcode_items_class,deadcode_items_class,SE vs Hybrid,,,,,
LOW,fine,deadcode_items_class,deadcode_items_class,ML vs Hybrid,47902.5,0.31484674791345857,0.9445402437403757,,-0.04657411553963278
LOW,fine,deadcode_items_function,deadcode_items_function,SE vs ML,,,,,
LOW,fine,deadcode_items_function,deadcode_items_function,SE vs Hybrid,,,,,
LOW,fine,deadcode_items_function,deadcode_items_function,ML vs Hybrid,39021.5,1.4313480479868824e-06,4.294044143960648e-06,***,-0.2233368164402647
