stratum,granularity,outcome,column,comparison,U,p_raw,p_adj,significance,cliffs_delta
LOW,fine,deadcode_items_other,deadcode_items_other,SE vs ML,,,,,
LOW,fine,deadcode_items_other,deadcode_items_other,SE vs Hybrid,,,,,
LOW,fine,deadcode_items_other,deadcode_items_other,ML vs Hybrid,54221.0,0.08744321278209656,0.2623296383462897,,0.07918594815146539
LOW,fine,deadcode_items_property,deadcode_items_property,SE vs ML,,,,,
LOW,fine,deadcode_items_property,deadcode_items_property,SE vs Hybrid,,,,,
LOW,fine,deadcode_items_property,deadcode_items_property,ML vs Hybrid,58163.5,0.000666909273839356,0.002000727821518068,**,0.15765537144847488
LOW,fine,deadcode_items_variable,deadcode_items_variable,SE vs ML,,,,,
LOW,fine,deadcode_items_variable,deadcode_items_variable,SE vs Hybrid,,,,,
LOW,fine,deadcode_items_variable,deadcode_items_variable,ML vs Hybrid,39108.0,1.7233196824734829e-06,5.169959047420448e-06,***,-0.22161516644275264
LOW,fine,design_smell_broken_hierarchy,design_smell_broken_hierarchy,SE vs ML,,,,,
LOW,fine,design_smell_broken_hierarchy,design_smell_broken_hierarchy,SE vs Hybrid,,,,,
LOW,fine,design_smell_broken_hierarchy,design_smell_broken_hierarchy,ML vs Hybrid,44012.0,0.007438332986160193,0.02231499895848058,*,-0.12400855849131712
LOW,fine,design_smell_broken_modularization,design_smell_broken_modularization,SE vs ML,,,,,
LOW,fine,design_smell_broken_modularization,design_smell_broken_modularization,SE vs Hybrid,,,,,
LOW,fine,design_smell_broken_modularization,design_smell_broken_modularization,ML vs Hybrid,40894.0,5.91641088350057e-05,0.0001774923265050171,***,-0.18606757227446882
LOW,fine,design_smell_deep_hierarchy,design_smell_deep_hierarchy,SE vs ML,,,,,
LOW,fine,design_smell_deep_hierarchy,design_smell_deep_hierarchy,SE vs Hybrid,,,,,
LOW,fine,design_smell_deep_hierarchy,design_smell_deep_hierarchy,ML vs Hybrid,,,,,
LOW,fine,design_smell_deficient_encapsulation,design_smell_deficient_encapsulation,SE vs ML,,,,,
LOW,fine,design_smell_deficient_encapsulation,design_smell_deficient_encapsulation,SE vs Hybrid,,,,,
LOW,fine,design_smell_deficient_encapsulation,design_smell_deficient_encapsulation,ML vs Hybrid,62771.5,7.34433481289731e-08,2.203300443869193e-07,***,0.2493705528188287
LOW,fine,design_smell_feature_envy,design_smell_feature_envy,SE vs ML,,,,,
LOW,fine,design_smell_feature_envy,design_smell_feature_envy,SE vs Hybrid,,,,,
LOW,fine,design_smell_feature_envy,design_smell_feature_envy,ML vs Hybrid,43703.0,0.004964818077277961,0.014894454231833883,*,-0.13015873015873017
LOW,fine,design_smell_hub_like_modularization,design_smell_hub_like_modularization,SE vs ML,,,,,
LOW,fine,design_smell_hub_like_modularization,design_smell_hub_like_modularization,SE vs Hybrid,,,,,
LOW,fine,design_smell_hub_like_modularization,design_smell_hub_like_modularization,ML vs Hybrid,,,,,
LOW,fine,design_smell_insufficient_modularization,design_smell_insufficient_modularization,SE vs ML,,,,,
LOW,fine,design_smell_insufficient_modularization,design_smell_insufficient_modularization,SE vs Hybrid,,,,,
LOW,fine,design_smell_insufficient_modularization,design_smell_insufficient_modularization,ML vs Hybrid,56884.0,0.004329090635477081,0.012987271906431244,*,0.13218888391302183
LOW,fine,design_smell_multifaceted_abstraction,design_smell_multifaceted_abstraction,SE vs ML,,,,,
LOW,fine,design_smell_multifaceted_abstraction,design_smell_multifaceted_abstraction,SE vs Hybrid,,,,,
LOW,fine,design_smell_multifaceted_abstraction,design_smell_multifaceted_abstraction,ML vs Hybrid,46776.0,0.13646770296636312,0.4094031088990894,,-0.06899537244364831
LOW,fine,design_smell_rebellious_hierarchy,design_smell_rebellious_hierarchy,SE vs ML,,,,,
LOW,fine,design_smell_rebellious_hierarchy,design_smell_rebellious_hierarchy,SE vs Hybrid,,,,,
LOW,fine,design_smell_rebellious_hierarchy,design_smell_rebellious_hierarchy,ML vs Hybrid,40157.0,1.4725584033456368e-05,4.4176752100369104e-05,***,-0.20073642832263522
LOW,fine,design_smell_wide_hierarchy,design_smell_wide_hierarchy,SE vs ML,,,,,
LOW,fine,design_smell_wide_hierarchy,design_smell_wide_hierarchy,SE vs Hybrid,,,,,
LOW,fine,design_smell_wide_hierarchy,design_smell_wide_hierarchy,ML vs Hybrid,42100.0,0.00046876902773187074,0.0014063070831956122,**,-0.16206398965019655
LOW,fine,impl_smell_complex_conditional,impl_smell_complex_conditional,SE vs ML,,,,,
LOW,fine,impl_smell_complex_conditional,impl_smell_complex_conditional,SE vs Hybrid,,,,,
LOW,fine,impl_smell_complex_conditional,impl_smell_complex_conditional,ML vs Hybrid,54919.0,0.04454568265442131,0.13363704796326392,,0.0930785689406379
LOW,fine,impl_smell_complex_method,impl_smell_complex_method,SE vs ML,,,,,
LOW,fine,impl_smell_complex_method,impl_smell_complex_method,SE vs Hybrid,,,,,
LOW,fine,impl_smell_complex_method,impl_smell_complex_method,ML vs Hybrid,50022.0,0.924698363074069,1.0,,-0.00438871473354232
LOW,fine,impl_smell_empty_catch_clause,impl_smell_empty_catch_clause,SE vs ML,,,,,
LOW,fine,impl_smell_empty_catch_clause,impl_smell_empty_catch_clause,SE vs Hybrid,,,,,
LOW,fine,impl_smell_empty_catch_clause,impl_smell_empty_catch_clause,ML vs Hybrid,,,,,
LOW,fine,impl_smell_long_identifier,impl_smell_long_identifier,SE vs ML,,,,,
LOW,fine,impl_smell_long_identifier,impl_smell_long_identifier,SE vs Hybrid,,,,,
LOW,fine,impl_smell_long_identifier,impl_smell_long_identifier,ML vs Hybrid,44925.0,0.022353461705991083,0.06706038511797324,,-0.1058366920435886
LOW,fine,impl_smell_long_lambda_function,impl_smell_long_lambda_function,SE vs ML,,,,,
LOW,fine,impl_smell_long_lambda_function,impl_smell_long_lambda_function,SE vs Hybrid,,,,,
LOW,fine,impl_smell_long_lambda_function,impl_smell_long_lambda_function,ML vs Hybrid,52313.5,0.3737153234715026,1.0,,0.04122008259939294
LOW,fine,impl_smell_long_message_chain,impl_smell_long_message_chain,SE vs ML,,,,,
LOW,fine,impl_smell_long_message_chain,impl_smell_long_message_chain,SE vs Hybrid,,,,,
LOW,fine,impl_smell_long_message_chain,impl_smell_long_message_chain,ML vs Hybrid,46825.0,0.1420977202015565,0.4262931606046695,,-0.06802010250286113
LOW,fine,impl_smell_long_method,impl_smell_long_method,SE vs ML,,,,,
LOW,fine,impl_smell_long_method,impl_smell_long_method,SE vs Hybrid,,,,,
LOW,fine,impl_smell_long_method,impl_smell_long_method,ML vs Hybrid,47961.0,0.3271004682188008,0.9813014046564024,,-0.04540976265114196
LOW,fine,impl_smell_long_parameter_list,impl_smell_long_parameter_list,SE vs ML,,,,,
LOW,fine,impl_smell_long_parameter_list,impl_smell_long_parameter_list,SE vs Hybrid,,,,,
LOW,fine,impl_smell_long_parameter_list,impl_smell_long_parameter_list,ML vs Hybrid,55160.5,0.034628772192695674,0.10388631657808703,,0.09788525650594616
LOW,fine,impl_smell_long_statement,impl_smell_long_statement,SE vs ML,,,,,
LOW,fine,impl_smell_long_statement,impl_smell_long_statement,SE vs Hybrid,,,,,
LOW,fine,impl_smell_long_statement,impl_smell_long_statement,ML vs Hybrid,52137.0,0.41581303116118007,1.0,,0.03770712046574116
LOW,fine,impl_smell_magic_number,impl_smell_magic_number,SE vs ML,,,,,
LOW,fine,impl_smell_magic_number,impl_smell_magic_number,SE vs Hybrid,,,,,
LOW,fine,impl_smell_magic_number,impl_smell_magic_number,ML vs Hybrid,47974.0,0.32986503121548005,0.9895950936464402,,-0.045151017564810665
LOW,fine,impl_smell_missing_default,impl_smell_missing_default,SE vs ML,,,,,
LOW,fine,impl_smell_missing_default,impl_smell_missing_default,SE vs Hybrid,,,,,
LOW,fine,impl_smell_missing_default,impl_smell_missing_default,ML vs Hybrid,,,,,
LOW,fine,mlsmell_broadcasting_feature_not_used,mlsmell_broadcasting_feature_not_used,SE vs ML,,,,,
LOW,fine,mlsmell_broadcasting_feature_not_used,mlsmell_broadcasting_feature_not_used,SE vs Hybrid,,,,,
LOW,fine,mlsmell_broadcasting_feature_not_used,mlsmell_broadcasting_feature_not_used,ML vs Hybrid,47211.0,0.1928516899025885,0.5785550697077655,,-0.06033736378563965
LOW,fine,mlsmell_chain_indexing,mlsmell_chain_indexing,SE vs ML,,,,,
LOW,fine,mlsmell_chain_indexing,mlsmell_chain_indexing,SE vs Hybrid,,,,,
LOW,fine,mlsmell_chain_indexing,mlsmell_chain_indexing,ML vs Hybrid,49279.0,0.6790736348533924,1.0,,-0.019176991590784693
LOW,fine,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_columns_and_datatype_not_explicitly_set,SE vs ML,,,,,
LOW,fine,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_columns_and_datatype_not_explicitly_set,SE vs Hybrid,,,,,
LOW,fine,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_columns_and_datatype_not_explicitly_set,ML vs Hybrid,46708.5,0.12899560138705524,0.3869868041611657,,-0.0703388565457531
LOW,fine,mlsmell_dataframe_conversion_api_misused,mlsmell_dataframe_conversion_api_misused,SE vs ML,,,,,
LOW,fine,mlsmell_dataframe_conversion_api_misused,mlsmell_dataframe_conversion_api_misused,SE vs Hybrid,,,,,
LOW,fine,mlsmell_dataframe_conversion_api_misused,mlsmell_dataframe_conversion_api_misused,ML vs Hybrid,47814.5,0.2969894342753676,0.8909683028261028,,-0.04832562073941384
LOW,fine,mlsmell_deterministic_algorithm_option_not_used,mlsmell_deterministic_algorithm_option_not_used,SE vs ML,,,,,
LOW,fine,mlsmell_deterministic_algorithm_option_not_used,mlsmell_deterministic_algorithm_option_not_used,SE vs Hybrid,,,,,
LOW,fine,mlsmell_deterministic_algorithm_option_not_used,mlsmell_deterministic_algorithm_option_not_used,ML vs Hybrid,,,,,
LOW,fine,mlsmell_empty_column_misinitialization,mlsmell_empty_column_misinitialization,SE vs ML,,,,,
LOW,fine,mlsmell_empty_column_misinitialization,mlsmell_empty_column_misinitialization,SE vs Hybrid,,,,,
LOW,fine,mlsmell_empty_column_misinitialization,mlsmell_empty_column_misinitialization,ML vs Hybrid,,,,,
LOW,fine,mlsmell_gradients_not_cleared,mlsmell_gradients_not_cleared,SE vs ML,,,,,
LOW,fine,mlsmell_gradients_not_cleared,mlsmell_gradients_not_cleared,SE vs Hybrid,,,,,
LOW,fine,mlsmell_gradients_not_cleared,mlsmell_gradients_not_cleared,ML vs Hybrid,,,,,
LOW,fine,mlsmell_hyperparameters_not_explicitly_set,mlsmell_hyperparameters_not_explicitly_set,SE vs ML,,,,,
LOW,fine,mlsmell_hyperparameters_not_explicitly_set,mlsmell_hyperparameters_not_explicitly_set,SE vs Hybrid,,,,,
LOW,fine,mlsmell_hyperparameters_not_explicitly_set,mlsmell_hyperparameters_not_explicitly_set,ML vs Hybrid,42843.0,0.0014789370104749582,0.0044368110314248746,**,-0.14727571279295418
LOW,fine,mlsmell_in_place_apis_misused,mlsmell_in_place_apis_misused,SE vs ML,,,,,
LOW,fine,mlsmell_in_place_apis_misused,mlsmell_in_place_apis_misused,SE vs Hybrid,,,,,
LOW,fine,mlsmell_in_place_apis_misused,mlsmell_in_place_apis_misused,ML vs Hybrid,48441.0,0.43907741150348245,1.0,,-0.03585609792506344
LOW,fine,mlsmell_matrix_multiplication_api_misused,mlsmell_matrix_multiplication_api_misused,SE vs ML,,,,,
LOW,fine,mlsmell_matrix_multiplication_api_misused,mlsmell_matrix_multiplication_api_misused,SE vs Hybrid,,,,,
LOW,fine,mlsmell_matrix_multiplication_api_misused,mlsmell_matrix_multiplication_api_misused,ML vs Hybrid,44973.5,0.023606606403131555,0.07081981920939466,,-0.10487137383689107
LOW,fine,mlsmell_memory_not_freed,mlsmell_memory_not_freed,SE vs ML,,,,,
LOW,fine,mlsmell_memory_not_freed,mlsmell_memory_not_freed,SE vs Hybrid,,,,,
LOW,fine,mlsmell_memory_not_freed,mlsmell_memory_not_freed,ML vs Hybrid,,,,,
LOW,fine,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_merge_api_parameter_not_explicitly_set,SE vs ML,,,,,
LOW,fine,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_merge_api_parameter_not_explicitly_set,SE vs Hybrid,,,,,
LOW,fine,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_merge_api_parameter_not_explicitly_set,ML vs Hybrid,,,,,
LOW,fine,mlsmell_nan_equivalence_comparison_misused,mlsmell_nan_equivalence_comparison_misused,SE vs ML,,,,,
LOW,fine,mlsmell_nan_equivalence_comparison_misused,mlsmell_nan_equivalence_comparison_misused,SE vs Hybrid,,,,,
LOW,fine,mlsmell_nan_equivalence_comparison_misused,mlsmell_nan_equivalence_comparison_misused,ML vs Hybrid,,,,,
LOW,fine,mlsmell_pytorch_call_method_misused,mlsmell_pytorch_call_method_misused,SE vs ML,,,,,
LOW,fine,mlsmell_pytorch_call_method_misused,mlsmell_pytorch_call_method_misused,SE vs Hybrid,,,,,
LOW,fine,mlsmell_pytorch_call_method_misused,mlsmell_pytorch_call_method_misused,ML vs Hybrid,51009.5,0.7419240145796593,1.0,,0.015265960093546301
LOW,fine,mlsmell_tensor_array_not_used,mlsmell_tensor_array_not_used,SE vs ML,,,,,
LOW,fine,mlsmell_tensor_array_not_used,mlsmell_tensor_array_not_used,SE vs Hybrid,,,,,
LOW,fine,mlsmell_tensor_array_not_used,mlsmell_tensor_array_not_used,ML vs Hybrid,,,,,
LOW,fine,mlsmell_unnecessary_iteration,mlsmell_unnecessary_iteration,SE vs ML,,,,,
LOW,fine,mlsmell_unnecessary_iteration,mlsmell_unnecessary_iteration,SE vs Hybrid,,,,,
LOW,fine,mlsmell_unnecessary_iteration,mlsmell_unnecessary_iteration,ML vs Hybrid,48037.0,0.3434757498415816,1.0,,-0.04389709906951286
MID,coarse,bugs_introduced,bugs_introduced,SE vs ML,,,,,
MID,coarse,bugs_introduced,bugs_introduced,SE vs Hybrid,23186.5,0.014967274827539281,0.04490182448261784,*,0.16141554798637547
MID,coarse,bugs_introduced,bugs_introduced,ML vs Hybrid,,,,,
MID,coarse,vulnerabilities,vuln_bandit_issues_total,SE vs ML,,,,,
MID,coarse,vulnerabilities,vuln_bandit_issues_total,SE vs Hybrid,23927.5,0.0027647226905395134,0.00829416807161854,**,0.19853235824484072
MID,coarse,vulnerabilities,vuln_bandit_issues_total,ML vs Hybrid,,,,,
MID,coarse,generic_code_smells_total,generic_code_smells_total,SE vs ML,,,,,
MID,coarse,generic_code_smells_total,generic_code_smells_total,SE vs Hybrid,17035.0,0.02699949886788866,0.08099849660366598,,-0.14671408535363656
MID,coarse,generic_code_smells_total,generic_code_smells_total,ML vs Hybrid,,,,,
MID,coarse,ml_smells_total,ml_smells_total,SE vs ML,,,,,
MID,coarse,ml_smells_total,ml_smells_total,SE vs Hybrid,24342.5,0.0009458741364758741,0.002837622409427622,**,0.21931977559607294
MID,coarse,ml_smells_total,ml_smells_total,ML vs Hybrid,,,,,
MID,coarse,deadcode_items_total,deadcode_items_total,SE vs ML,,,,,
MID,coarse,deadcode_items_total,deadcode_items_total,SE vs Hybrid,16380.0,0.006806549813923596,0.020419649441770788,*,-0.17952314165497896
MID,coarse,deadcode_items_total,deadcode_items_total,ML vs Hybrid,,,,,
MID,fine,vuln_bandit_issues_high,vuln_bandit_issues_high,SE vs ML,,,,,
MID,fine,vuln_bandit_issues_high,vuln_bandit_issues_high,SE vs Hybrid,,,,,
MID,fine,vuln_bandit_issues_high,vuln_bandit_issues_high,ML vs Hybrid,,,,,
MID,fine,vuln_bandit_issues_low,vuln_bandit_issues_low,SE vs ML,,,,,
MID,fine,vuln_bandit_issues_low,vuln_bandit_issues_low,SE vs Hybrid,23927.5,0.0027647226905395134,0.00829416807161854,**,0.19853235824484072
MID,fine,vuln_bandit_issues_low,vuln_bandit_issues_low,ML vs Hybrid,,,,,
MID,fine,vuln_bandit_issues_medium,vuln_bandit_issues_medium,SE vs ML,,,,,
MID,fine,vuln_bandit_issues_medium,vuln_bandit_issues_medium,SE vs Hybrid,,,,,
MID,fine,vuln_bandit_issues_medium,vuln_bandit_issues_medium,ML vs Hybrid,,,,,
MID,fine,deadcode_items_attribute,deadcode_items_attribute,SE vs ML,,,,,
MID,fine,deadcode_items_attribute,deadcode_items_attribute,SE vs Hybrid,20908.0,0.47615142848467773,1.0,,0.04728511320376678
MID,fine,deadcode_items_attribute,deadcode_items_attribute,ML vs Hybrid,,,,,
MID,fine,deadcode_items_class,deadcode_items_class,SE vs ML,,,,,
MID,fine,deadcode_items_class,deadcode_items_class,SE vs Hybrid,17818.0,0.10518404990130523,0.31555214970391565,,-0.10749348827890202
MID,fine,deadcode_items_class,deadcode_items_class,ML vs Hybrid,,,,,
MID,fine,deadcode_items_function,deadcode_items_function,SE vs ML,,,,,
MID,fine,deadcode_items_function,deadcode_items_function,SE vs Hybrid,16359.5,0.0064957898795261985,0.019487369638578597,*,-0.18054998998196753
MID,fine,deadcode_items_function,deadcode_items_function,ML vs Hybrid,,,,,
MID,fine,deadcode_items_other,deadcode_items_other,SE vs ML,,,,,
MID,fine,deadcode_items_other,deadcode_items_other,SE vs Hybrid,16253.0,0.005077575352014886,0.015232726056044657,*,-0.18588459226607895
MID,fine,deadcode_items_other,deadcode_items_other,ML vs Hybrid,,,,,
MID,fine,deadcode_items_property,deadcode_items_property,SE vs ML,,,,,
MID,fine,deadcode_items_property,deadcode_items_property,SE vs Hybrid,16222.0,0.0047209530624361205,0.014162859187308361,*,-0.18743738729713486
MID,fine,deadcode_items_property,deadcode_items_property,ML vs Hybrid,,,,,
MID,fine,deadcode_items_variable,deadcode_items_variable,SE vs ML,,,,,
MID,fine,deadcode_items_variable,deadcode_items_variable,SE vs Hybrid,15369.0,0.0005211488743466997,0.0015634466230400991,**,-0.23016429573231817
MID,fine,deadcode_items_variable,deadcode_items_variable,ML vs Hybrid,,,,,
MID,fine,design_smell_broken_hierarchy,design_smell_broken_hierarchy,SE vs ML,,,,,
MID,fine,design_smell_broken_hierarchy,design_smell_broken_hierarchy,SE vs Hybrid,19957.0,0.9960834962894282,1.0,,-0.0003506311360448808
MID,fine,design_smell_broken_hierarchy,design_smell_broken_hierarchy,ML vs Hybrid,,,,,
MID,fine,design_smell_broken_modularization,design_smell_broken_modularization,SE vs ML,,,,,
MID,fine,design_smell_broken_modularization,design_smell_broken_modularization,SE vs Hybrid,14969.5,0.00016237499673654233,0.000487124990209627,***,-0.2501753155680224
MID,fine,design_smell_broken_modularization,design_smell_broken_modularization,ML vs Hybrid,,,,,
MID,fine,design_smell_deep_hierarchy,design_smell_deep_hierarchy,SE vs ML,,,,,
MID,fine,design_smell_deep_hierarchy,design_smell_deep_hierarchy,SE vs Hybrid,,,,,
MID,fine,design_smell_deep_hierarchy,design_smell_deep_hierarchy,ML vs Hybrid,,,,,
MID,fine,design_smell_deficient_encapsulation,design_smell_deficient_encapsulation,SE vs ML,,,,,
MID,fine,design_smell_deficient_encapsulation,design_smell_deficient_encapsulation,SE vs Hybrid,20026.5,0.9626560884467039,1.0,,0.003130635143257864
MID,fine,design_smell_deficient_encapsulation,design_smell_deficient_encapsulation,ML vs Hybrid,,,,,
MID,fine,design_smell_feature_envy,design_smell_feature_envy,SE vs ML,,,,,
MID,fine,design_smell_feature_envy,design_smell_feature_envy,SE vs Hybrid,19410.5,0.6762315730021814,1.0,,-0.027724904828691645
MID,fine,design_smell_feature_envy,design_smell_feature_envy,ML vs Hybrid,,,,,
MID,fine,design_smell_hub_like_modularization,design_smell_hub_like_modularization,SE vs ML,,,,,
MID,fine,design_smell_hub_like_modularization,design_smell_hub_like_modularization,SE vs Hybrid,,,,,
MID,fine,design_smell_hub_like_modularization,design_smell_hub_like_modularization,ML vs Hybrid,,,,,
MID,fine,design_smell_insufficient_modularization,design_smell_insufficient_modularization,SE vs ML,,,,,
MID,fine,design_smell_insufficient_modularization,design_smell_insufficient_modularization,SE vs Hybrid,20640.0,0.6099675965781374,1.0,,0.03386094970947706
MID,fine,design_smell_insufficient_modularization,design_smell_insufficient_modularization,ML vs Hybrid,,,,,
MID,fine,design_smell_multifaceted_abstraction,design_smell_multifaceted_abstraction,SE vs ML,,,,,
MID,fine,design_smell_multifaceted_abstraction,design_smell_multifaceted_abstraction,SE vs Hybrid,16253.5,0.005083519645793086,0.015250558937379258,*,-0.1858595471849329
MID,fine,design_smell_multifaceted_abstraction,design_smell_multifaceted_abstraction,ML vs Hybrid,,,,,
MID,fine,design_smell_rebellious_hierarchy,design_smell_rebellious_hierarchy,SE vs ML,,,,,
MID,fine,design_smell_rebellious_hierarchy,design_smell_rebellious_hierarchy,SE vs Hybrid,18398.5,0.23726643665802594,0.7117993099740778,,-0.07841614906832298
MID,fine,design_smell_rebellious_hierarchy,design_smell_rebellious_hierarchy,ML vs Hybrid,,,,,
MID,fine,design_smell_wide_hierarchy,design_smell_wide_hierarchy,SE vs ML,,,,,
MID,fine,design_smell_wide_hierarchy,design_smell_wide_hierarchy,SE vs Hybrid,16769.0,0.015847736617508955,0.047543209852526865,*,-0.16003806852334201
MID,fine,design_smell_wide_hierarchy,design_smell_wide_hierarchy,ML vs Hybrid,,,,,
MID,fine,impl_smell_complex_conditional,impl_smell_complex_conditional,SE vs ML,,,,,
MID,fine,impl_smell_complex_conditional,impl_smell_complex_conditional,SE vs Hybrid,18960.0,0.44856071214242366,1.0,,-0.05029052294129433
MID,fine,impl_smell_complex_conditional,impl_smell_complex_conditional,ML vs Hybrid,,,,,
MID,fine,impl_smell_complex_method,impl_smell_complex_method,SE vs ML,,,,,
MID,fine,impl_smell_complex_method,impl_smell_complex_method,SE vs Hybrid,18713.0,0.3449937503210472,1.0,,-0.06266279302744941
MID,fine,impl_smell_complex_method,impl_smell_complex_method,ML vs Hybrid,,,,,
MID,fine,impl_smell_empty_catch_clause,impl_smell_empty_catch_clause,SE vs ML,,,,,
MID,fine,impl_smell_empty_catch_clause,impl_smell_empty_catch_clause,SE vs Hybrid,,,,,
MID,fine,impl_smell_empty_catch_clause,impl_smell_empty_catch_clause,ML vs Hybrid,,,,,
MID,fine,impl_smell_long_identifier,impl_smell_long_identifier,SE vs ML,,,,,
MID,fine,impl_smell_long_identifier,impl_smell_long_identifier,SE vs Hybrid,17888.0,0.11702999754463701,0.35108999263391105,,-0.10398717691845322
MID,fine,impl_smell_long_identifier,impl_smell_long_identifier,ML vs Hybrid,,,,,
MID,fine,impl_smell_long_lambda_function,impl_smell_long_lambda_function,SE vs ML,,,,,
MID,fine,impl_smell_long_lambda_function,impl_smell_long_lambda_function,SE vs Hybrid,21874.0,0.1493012086571572,0.4479036259714716,,0.09567220997796033
MID,fine,impl_smell_long_lambda_function,impl_smell_long_lambda_function,ML vs Hybrid,,,,,
MID,fine,impl_smell_long_message_chain,impl_smell_long_message_chain,SE vs ML,,,,,
MID,fine,impl_smell_long_message_chain,impl_smell_long_message_chain,SE vs Hybrid,14197.5,1.3347360447677324e-05,4.004208134303197e-05,***,-0.2888449208575436
MID,fine,impl_smell_long_message_chain,impl_smell_long_message_chain,ML vs Hybrid,,,,,
MID,fine,impl_smell_long_method,impl_smell_long_method,SE vs ML,,,,,
MID,fine,impl_smell_long_method,impl_smell_long_method,SE vs Hybrid,17200.0,0.03689522715868062,0.11068568147604185,,-0.13844920857543577
MID,fine,impl_smell_long_method,impl_smell_long_method,ML vs Hybrid,,,,,
MID,fine,impl_smell_long_parameter_list,impl_smell_long_parameter_list,SE vs ML,,,,,
MID,fine,impl_smell_long_parameter_list,impl_smell_long_parameter_list,SE vs Hybrid,14858.0,0.00011547561675568855,0.0003464268502670657,***,-0.2557603686635945
MID,fine,impl_smell_long_parameter_list,impl_smell_long_parameter_list,ML vs Hybrid,,,,,
MID,fine,impl_smell_long_statement,impl_smell_long_statement,SE vs ML,,,,,
MID,fine,impl_smell_long_statement,impl_smell_long_statement,SE vs Hybrid,16826.0,0.01781907913971117,0.05345723741913351,,-0.15718292927269084
MID,fine,impl_smell_long_statement,impl_smell_long_statement,ML vs Hybrid,,,,,
MID,fine,impl_smell_magic_number,impl_smell_magic_number,SE vs ML,,,,,
MID,fine,impl_smell_magic_number,impl_smell_magic_number,SE vs Hybrid,17306.0,0.04476317388606437,0.1342895216581931,,-0.13313965137247044
