granularity,outcome,column,comparison,U,p_raw,p_adj,significance,cliffs_delta
coarse,bugs_introduced,bugs_introduced,SE vs ML,33179.0,1.323006471924882e-41,3.9690194157746456e-41,***,-0.5783661513632349
coarse,bugs_introduced,bugs_introduced,SE vs Hybrid,96803.5,9.824005077671829e-36,2.9472015233015486e-35,***,-0.42356738152445433
coarse,bugs_introduced,bugs_introduced,ML vs Hybrid,77486.0,0.12778432306632356,0.38335296919897066,,0.06600081168272835
coarse,vulnerabilities,vuln_bandit_issues_total,SE vs ML,125032.0,4.550742776969924e-43,1.3652228330909772e-42,***,0.588888253496248
coarse,vulnerabilities,vuln_bandit_issues_total,SE vs Hybrid,285907.5,3.842299546054915e-95,1.1526898638164746e-94,***,0.7024839893887832
coarse,vulnerabilities,vuln_bandit_issues_total,ML vs Hybrid,71124.5,0.6196387445750735,1.0,,-0.021516470968585128
coarse,generic_code_smells_total,generic_code_smells_total,SE vs ML,26953.0,2.999366944976645e-53,8.998100834929935e-53,***,-0.6574852430059155
coarse,generic_code_smells_total,generic_code_smells_total,SE vs Hybrid,79545.0,3.174332230479844e-54,9.522996691439531e-54,***,-0.5263360040015364
coarse,generic_code_smells_total,generic_code_smells_total,ML vs Hybrid,79843.0,0.02313664748722088,0.06940994246166264,,0.09842684881377384
coarse,ml_smells_total,ml_smells_total,SE vs ML,73762.0,0.1433584494614214,0.4300753483842642,,-0.0626433604645991
coarse,ml_smells_total,ml_smells_total,SE vs Hybrid,160261.5,0.17826580500575173,0.5347974150172552,,-0.04569611547290477
coarse,ml_smells_total,ml_smells_total,ML vs Hybrid,72503.0,0.953165803663421,1.0,,-0.0025519855272842333
coarse,deadcode_items_total,deadcode_items_total,SE vs ML,26060.0,4.849530417571812e-55,1.4548591252715437e-54,***,-0.6688333555720758
coarse,deadcode_items_total,deadcode_items_total,SE vs Hybrid,76701.0,1.1866195731251086e-57,3.5598587193753255e-57,***,-0.5432710772886019
coarse,deadcode_items_total,deadcode_items_total,ML vs Hybrid,78126.0,0.08433355748692062,0.25300067246076186,,0.07480550568521843
fine,vuln_bandit_issues_high,vuln_bandit_issues_high,SE vs ML,,,,,
fine,vuln_bandit_issues_high,vuln_bandit_issues_high,SE vs Hybrid,,,,,
fine,vuln_bandit_issues_high,vuln_bandit_issues_high,ML vs Hybrid,,,,,
fine,vuln_bandit_issues_low,vuln_bandit_issues_low,SE vs ML,125032.0,4.550742776969924e-43,1.3652228330909772e-42,***,0.588888253496248
