granularity,outcome,column,comparison,U,p_raw,p_adj,significance,cliffs_delta
fine,vuln_bandit_issues_low,vuln_bandit_issues_low,SE vs Hybrid,285907.5,3.842299546054915e-95,1.1526898638164746e-94,***,0.7024839893887832
fine,vuln_bandit_issues_low,vuln_bandit_issues_low,ML vs Hybrid,71124.5,0.6196387445750735,1.0,,-0.021516470968585128
fine,vuln_bandit_issues_medium,vuln_bandit_issues_medium,SE vs ML,,,,,
fine,vuln_bandit_issues_medium,vuln_bandit_issues_medium,SE vs Hybrid,,,,,
fine,vuln_bandit_issues_medium,vuln_bandit_issues_medium,ML vs Hybrid,,,,,
fine,deadcode_items_attribute,deadcode_items_attribute,SE vs ML,24646.0,6.1244047060647176e-58,1.8373214118194153e-57,***,-0.686802259456231
fine,deadcode_items_attribute,deadcode_items_attribute,SE vs Hybrid,101136.0,1.0292103716663336e-31,3.087631114999001e-31,***,-0.3977687862304278
fine,deadcode_items_attribute,deadcode_items_attribute,ML vs Hybrid,93769.0,2.1978109692082123e-11,6.593432907624636e-11,***,0.2900114873742064
fine,deadcode_items_class,deadcode_items_class,SE vs ML,25176.0,7.629028961627282e-57,2.2887086884881845e-56,***,-0.6800670974628772
fine,deadcode_items_class,deadcode_items_class,SE vs Hybrid,79640.0,4.114118003350451e-54,1.2342354010051353e-53,***,-0.5257703106252103
fine,deadcode_items_class,deadcode_items_class,ML vs Hybrid,78632.5,0.05917712901925674,0.17753138705777022,,0.08177359554812659
fine,deadcode_items_function,deadcode_items_function,SE vs ML,14907.0,5.6328319922143495e-80,1.6898495976643047e-79,***,-0.8105640380473114
fine,deadcode_items_function,deadcode_items_function,SE vs Hybrid,62213.5,8.775784184364292e-77,2.6327352553092875e-76,***,-0.6295393171783215
fine,deadcode_items_function,deadcode_items_function,ML vs Hybrid,69014.5,0.2435250519208637,0.7305751557625911,,-0.0505444465080446
fine,deadcode_items_other,deadcode_items_other,SE vs ML,25384.0,2.039128296269454e-56,6.117384888808362e-56,***,-0.6774238640768062
fine,deadcode_items_other,deadcode_items_other,SE vs Hybrid,81667.0,9.744688732544222e-52,2.923406619763267e-51,***,-0.5137002003745486
fine,deadcode_items_other,deadcode_items_other,ML vs Hybrid,87423.0,2.902759749472226e-06,8.708279248416678e-06,***,0.20270744340576569
fine,deadcode_items_property,deadcode_items_property,SE vs ML,24542.0,3.7226485678847845e-58,1.1167945703654354e-57,***,-0.6881238761492664
fine,deadcode_items_property,deadcode_items_property,SE vs Hybrid,80275.0,2.3121244393396416e-53,6.936373318018925e-53,***,-0.5219890970045047
fine,deadcode_items_property,deadcode_items_property,ML vs Hybrid,87326.5,3.3688125902443067e-06,1.010643777073292e-05,***,0.20137986063820273
fine,deadcode_items_variable,deadcode_items_variable,SE vs ML,31058.0,2.091760107496845e-45,6.275280322490535e-45,***,-0.6053195071894677
fine,deadcode_items_variable,deadcode_items_variable,SE vs Hybrid,68982.0,1.695137507279149e-67,5.0854125218374474e-67,***,-0.5892351527818717
fine,deadcode_items_variable,deadcode_items_variable,ML vs Hybrid,57909.0,2.707203328194763e-06,8.12160998458429e-06,***,-0.2033265234528158
fine,design_smell_broken_hierarchy,design_smell_broken_hierarchy,SE vs ML,25270.0,1.1902039818052242e-56,3.570611945415673e-56,***,-0.6788725592980183
fine,design_smell_broken_hierarchy,design_smell_broken_hierarchy,SE vs Hybrid,95670.0,7.931475280088167e-37,2.37944258402645e-36,***,-0.43031699670409174
fine,design_smell_broken_hierarchy,design_smell_broken_hierarchy,ML vs Hybrid,86582.0,1.0308778644240119e-05,3.092633593272036e-05,***,0.19113752519311858
fine,design_smell_broken_modularization,design_smell_broken_modularization,SE vs ML,11959.0,2.3255611956411573e-87,6.976683586923472e-87,***,-0.8480267881537396
fine,design_smell_broken_modularization,design_smell_broken_modularization,SE vs Hybrid,67481.5,1.6721453086753245e-69,5.016435926025974e-69,***,-0.5981701307942633
fine,design_smell_broken_modularization,design_smell_broken_modularization,ML vs Hybrid,78582.0,0.06136684860605896,0.1841005458181769,,0.08107885016199261
fine,design_smell_deep_hierarchy,design_smell_deep_hierarchy,SE vs ML,,,,,
fine,design_smell_deep_hierarchy,design_smell_deep_hierarchy,SE vs Hybrid,,,,,
fine,design_smell_deep_hierarchy,design_smell_deep_hierarchy,ML vs Hybrid,,,,,
fine,design_smell_deficient_encapsulation,design_smell_deficient_encapsulation,SE vs ML,31824.0,5.164495433192886e-44,1.5493486299578657e-43,***,-0.5955852919311488
fine,design_smell_deficient_encapsulation,design_smell_deficient_encapsulation,SE vs Hybrid,89611.5,5.8638558039994575e-43,1.7591567411998372e-42,***,-0.4663933474458944
fine,design_smell_deficient_encapsulation,design_smell_deficient_encapsulation,ML vs Hybrid,86533.5,1.106734027842603e-05,3.320202083527809e-05,***,0.19047029447574237
fine,design_smell_feature_envy,design_smell_feature_envy,SE vs ML,48353.0,2.1135050615328864e-19,6.340515184598659e-19,***,-0.38553719270823406
fine,design_smell_feature_envy,design_smell_feature_envy,SE vs Hybrid,113766.5,2.0503039367019756e-21,6.150911810105927e-21,***,-0.32255836318110226
fine,design_smell_feature_envy,design_smell_feature_envy,ML vs Hybrid,70064.0,0.40482339797961986,1.0,,-0.036106124077398764
fine,design_smell_hub_like_modularization,design_smell_hub_like_modularization,SE vs ML,,,,,
fine,design_smell_hub_like_modularization,design_smell_hub_like_modularization,SE vs Hybrid,,,,,
fine,design_smell_hub_like_modularization,design_smell_hub_like_modularization,ML vs Hybrid,,,,,
fine,design_smell_insufficient_modularization,design_smell_insufficient_modularization,SE vs ML,29242.0,8.508546429452118e-49,2.5525639288356353e-48,***,-0.6283969679063177
fine,design_smell_insufficient_modularization,design_smell_insufficient_modularization,SE vs Hybrid,92792.0,1.1159888075332544e-39,3.347966422599763e-39,***,-0.44745452867321084
fine,design_smell_insufficient_modularization,design_smell_insufficient_modularization,ML vs Hybrid,84496.0,0.00017799946585406393,0.0005339983975621918,***,0.16243972567875248
fine,design_smell_multifaceted_abstraction,design_smell_multifaceted_abstraction,SE vs ML,14712.0,1.8729990195927864e-80,5.618997058778359e-80,***,-0.8130420693467528
fine,design_smell_multifaceted_abstraction,design_smell_multifaceted_abstraction,SE vs Hybrid,64609.5,1.9963221520485364e-73,5.98896645614561e-73,***,-0.615271934760667
fine,design_smell_multifaceted_abstraction,design_smell_multifaceted_abstraction,ML vs Hybrid,77628.0,0.11688633592081285,0.3506590077624385,,0.06795435316453084
fine,design_smell_rebellious_hierarchy,design_smell_rebellious_hierarchy,SE vs ML,16229.0,9.001415865147076e-77,2.7004247595441227e-76,***,-0.7937642566223798
fine,design_smell_rebellious_hierarchy,design_smell_rebellious_hierarchy,SE vs Hybrid,63531.5,6.300014747329972e-75,1.8900044241989917e-74,***,-0.6216910659151876
fine,design_smell_rebellious_hierarchy,design_smell_rebellious_hierarchy,ML vs Hybrid,71250.0,0.6480160701327184,1.0,,-0.01978992550403434
fine,design_smell_wide_hierarchy,design_smell_wide_hierarchy,SE vs ML,15494.0,1.5185028082638632e-78,4.55550842479159e-78,***,-0.8031045284433516
fine,design_smell_wide_hierarchy,design_smell_wide_hierarchy,SE vs Hybrid,87236.0,1.7021915335081714e-45,5.1065746005245146e-45,***,-0.48053865918760474
fine,design_smell_wide_hierarchy,design_smell_wide_hierarchy,ML vs Hybrid,84492.0,0.00017890241542768944,0.0005367072462830684,***,0.16238469634123692
fine,impl_smell_complex_conditional,impl_smell_complex_conditional,SE vs ML,29807.0,9.959240100850745e-48,2.9877720302552234e-47,***,-0.6212170310643462
fine,impl_smell_complex_conditional,impl_smell_complex_conditional,SE vs Hybrid,92145.0,2.4627470838699364e-40,7.388241251609808e-40,***,-0.45130719829934707
fine,impl_smell_complex_conditional,impl_smell_complex_conditional,ML vs Hybrid,81673.0,0.004342614451757122,0.013027843355271365,*,0.12360277072714392
fine,impl_smell_complex_method,impl_smell_complex_method,SE vs ML,30059.0,2.956833172084887e-47,8.870499516254661e-47,***,-0.6180146521542987
fine,impl_smell_complex_method,impl_smell_complex_method,SE vs Hybrid,82163.0,3.643082977412885e-51,1.0929248932238656e-50,***,-0.5107466854834147
fine,impl_smell_complex_method,impl_smell_complex_method,ML vs Hybrid,76542.0,0.22125162033341195,0.6637548610002358,,0.05301388802905549
fine,impl_smell_empty_catch_clause,impl_smell_empty_catch_clause,SE vs ML,,,,,
fine,impl_smell_empty_catch_clause,impl_smell_empty_catch_clause,SE vs Hybrid,,,,,
fine,impl_smell_empty_catch_clause,impl_smell_empty_catch_clause,ML vs Hybrid,,,,,
fine,impl_smell_long_identifier,impl_smell_long_identifier,SE vs ML,11987.0,2.743055077997536e-87,8.229165233992608e-87,***,-0.8476709682748454
fine,impl_smell_long_identifier,impl_smell_long_identifier,SE vs Hybrid,65440.0,2.792265838996757e-72,8.376797516990271e-72,***,-0.6103265837181537
fine,impl_smell_long_identifier,impl_smell_long_identifier,ML vs Hybrid,78992.0,0.04539185608297375,0.13617556824892124,,0.08671935725733781
fine,impl_smell_long_lambda_function,impl_smell_long_lambda_function,SE vs ML,39646.0,4.50922993707104e-31,1.352768981121312e-30,***,-0.496184467191501
fine,impl_smell_long_lambda_function,impl_smell_long_lambda_function,SE vs Hybrid,112897.0,4.68294398838028e-22,1.404883196514084e-21,***,-0.32773594624126523
fine,impl_smell_long_lambda_function,impl_smell_long_lambda_function,ML vs Hybrid,79047.5,0.04352622490630873,0.1305786747189262,,0.08748288931536626
fine,impl_smell_long_message_chain,impl_smell_long_message_chain,SE vs ML,13403.0,1.0590929616308906e-83,3.1772788848926717e-83,***,-0.829676648685055
fine,impl_smell_long_message_chain,impl_smell_long_message_chain,SE vs Hybrid,65224.5,1.4110246416876937e-72,4.233073925063081e-72,***,-0.6116098144823459
fine,impl_smell_long_message_chain,impl_smell_long_message_chain,ML vs Hybrid,85247.0,6.69781726409838e-05,0.00020093451792295143,***,0.17277148379729942
fine,impl_smell_long_method,impl_smell_long_method,SE vs ML,24482.0,2.7921524328503796e-58,8.376457298551139e-58,***,-0.6888863473183253
fine,impl_smell_long_method,impl_smell_long_method,SE vs Hybrid,70036.0,4.1715370466383786e-66,1.2514611139915136e-65,***,-0.5829589336382123
fine,impl_smell_long_method,impl_smell_long_method,ML vs Hybrid,73354.0,0.8327962439385567,1.0,,0.009155506029151791
fine,impl_smell_long_parameter_list,impl_smell_long_parameter_list,SE vs ML,18539.0,2.466198150498244e-71,7.398594451494732e-71,***,-0.7644091166136113
fine,impl_smell_long_parameter_list,impl_smell_long_parameter_list,SE vs Hybrid,65533.0,3.7470173226823995e-72,1.1241051968047198e-71,***,-0.6097727996760661
fine,impl_smell_long_parameter_list,impl_smell_long_parameter_list,ML vs Hybrid,84968.5,9.684785218660636e-05,0.00029054355655981905,***,0.16894006617277837
fine,impl_smell_long_statement,impl_smell_long_statement,SE vs ML,25067.0,4.5506155867074594e-57,1.3651846760122378e-56,***,-0.6814522534200009
fine,impl_smell_long_statement,impl_smell_long_statement,SE vs Hybrid,74026.0,5.654029474633505e-61,1.6962088423900514e-60,***,-0.559199811832519
fine,impl_smell_long_statement,impl_smell_long_statement,ML vs Hybrid,80205.0,0.017028382596640634,0.0510851477899219,,0.1034070038589323
fine,impl_smell_magic_number,impl_smell_magic_number,SE vs ML,33119.0,1.0384869151482231e-41,3.115460745444669e-41,***,-0.5791286225322938
fine,impl_smell_magic_number,impl_smell_magic_number,SE vs Hybrid,91860.0,1.260632640396656e-40,3.7818979211899675e-40,***,-0.45300427842832514
fine,impl_smell_magic_number,impl_smell_magic_number,ML vs Hybrid,79317.0,0.03536255879895087,0.10608767639685263,,0.0911904909304773
fine,impl_smell_missing_default,impl_smell_missing_default,SE vs ML,,,,,
fine,impl_smell_missing_default,impl_smell_missing_default,SE vs Hybrid,,,,,
fine,impl_smell_missing_default,impl_smell_missing_default,ML vs Hybrid,,,,,
fine,mlsmell_broadcasting_feature_not_used,mlsmell_broadcasting_feature_not_used,SE vs ML,30049.0,2.832122783209031e-47,8.496368349627093e-47,***,-0.6181417306824752
fine,mlsmell_broadcasting_feature_not_used,mlsmell_broadcasting_feature_not_used,SE vs Hybrid,93521.5,6.038128651521961e-39,1.8114385954565883e-38,***,-0.44311059900973887
fine,mlsmell_broadcasting_feature_not_used,mlsmell_broadcasting_feature_not_used,ML vs Hybrid,81100.0,0.0075799358998573894,0.02273980769957217,*,0.11571981812803951
fine,mlsmell_chain_indexing,mlsmell_chain_indexing,SE vs ML,27826.0,1.5806395507304307e-51,4.741918652191292e-51,***,-0.6463912874961082
fine,mlsmell_chain_indexing,mlsmell_chain_indexing,SE vs Hybrid,98896.5,9.237149254015598e-34,2.7711447762046794e-33,***,-0.411104263243924
fine,mlsmell_chain_indexing,mlsmell_chain_indexing,ML vs Hybrid,84683.0,0.0001402537666102288,0.0004207612998306864,***,0.16501234720760505
fine,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_columns_and_datatype_not_explicitly_set,SE vs ML,63124.0,3.8047322692912856e-06,1.1414196807873858e-05,***,-0.1978294987387456
fine,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_columns_and_datatype_not_explicitly_set,SE vs Hybrid,147176.0,0.0002709267741310798,0.0008127803223932394,***,-0.12361591206147599
fine,mlsmell_columns_and_datatype_not_explicitly_set,mlsmell_columns_and_datatype_not_explicitly_set,ML vs Hybrid,75186.5,0.4278488579098112,1.0,,0.034365821278469086
fine,mlsmell_dataframe_conversion_api_misused,mlsmell_dataframe_conversion_api_misused,SE vs ML,120506.0,2.1833771869653594e-35,6.550131560896078e-35,***,0.5313725116435701
fine,mlsmell_dataframe_conversion_api_misused,mlsmell_dataframe_conversion_api_misused,SE vs Hybrid,212085.0,9.574604729294457e-15,2.872381418788337e-14,***,0.2628955759800638
fine,mlsmell_dataframe_conversion_api_misused,mlsmell_dataframe_conversion_api_misused,ML vs Hybrid,59611.5,3.304767873219e-05,9.914303619657002e-05,***,-0.1799046616727543
fine,mlsmell_deterministic_algorithm_option_not_used,mlsmell_deterministic_algorithm_option_not_used,SE vs ML,,,,,
fine,mlsmell_deterministic_algorithm_option_not_used,mlsmell_deterministic_algorithm_option_not_used,SE vs Hybrid,,,,,
fine,mlsmell_deterministic_algorithm_option_not_used,mlsmell_deterministic_algorithm_option_not_used,ML vs Hybrid,,,,,
fine,mlsmell_empty_column_misinitialization,mlsmell_empty_column_misinitialization,SE vs ML,,,,,
fine,mlsmell_empty_column_misinitialization,mlsmell_empty_column_misinitialization,SE vs Hybrid,,,,,
fine,mlsmell_empty_column_misinitialization,mlsmell_empty_column_misinitialization,ML vs Hybrid,,,,,
fine,mlsmell_gradients_not_cleared,mlsmell_gradients_not_cleared,SE vs ML,,,,,
fine,mlsmell_gradients_not_cleared,mlsmell_gradients_not_cleared,SE vs Hybrid,,,,,
fine,mlsmell_gradients_not_cleared,mlsmell_gradients_not_cleared,ML vs Hybrid,,,,,
fine,mlsmell_hyperparameters_not_explicitly_set,mlsmell_hyperparameters_not_explicitly_set,SE vs ML,41233.0,9.902652075615759e-29,2.970795622684728e-28,***,-0.47601710476989256
fine,mlsmell_hyperparameters_not_explicitly_set,mlsmell_hyperparameters_not_explicitly_set,SE vs Hybrid,119537.5,2.065133230170204e-17,6.195399690510612e-17,***,-0.28819397923607576
fine,mlsmell_hyperparameters_not_explicitly_set,mlsmell_hyperparameters_not_explicitly_set,ML vs Hybrid,83443.0,0.0006400273193230184,0.0019200819579690551,**,0.14795325257778053
fine,mlsmell_in_place_apis_misused,mlsmell_in_place_apis_misused,SE vs ML,53140.0,3.2998550652550235e-14,9.89956519576507e-14,***,-0.3247047012701499
fine,mlsmell_in_place_apis_misused,mlsmell_in_place_apis_misused,SE vs Hybrid,145120.0,6.273174834745333e-05,0.00018819524504236,***,-0.13585870765859512
fine,mlsmell_in_place_apis_misused,mlsmell_in_place_apis_misused,ML vs Hybrid,81105.0,0.007544179364600553,0.022632538093801658,*,0.11578860479993397
fine,mlsmell_matrix_multiplication_api_misused,mlsmell_matrix_multiplication_api_misused,SE vs ML,17383.0,4.968935587641561e-74,1.4906806762924683e-73,***,-0.7790993944708132
fine,mlsmell_matrix_multiplication_api_misused,mlsmell_matrix_multiplication_api_misused,SE vs Hybrid,82027.0,2.5395266237921187e-51,7.618579871376356e-51,***,-0.5115565202116289
fine,mlsmell_matrix_multiplication_api_misused,mlsmell_matrix_multiplication_api_misused,ML vs Hybrid,85078.5,8.379484379126145e-05,0.00025138453137378433,***,0.17045337295445634
fine,mlsmell_memory_not_freed,mlsmell_memory_not_freed,SE vs ML,,,,,
fine,mlsmell_memory_not_freed,mlsmell_memory_not_freed,SE vs Hybrid,,,,,
fine,mlsmell_memory_not_freed,mlsmell_memory_not_freed,ML vs Hybrid,,,,,
fine,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_merge_api_parameter_not_explicitly_set,SE vs ML,,,,,
fine,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_merge_api_parameter_not_explicitly_set,SE vs Hybrid,,,,,
fine,mlsmell_merge_api_parameter_not_explicitly_set,mlsmell_merge_api_parameter_not_explicitly_set,ML vs Hybrid,,,,,
fine,mlsmell_nan_equivalence_comparison_misused,mlsmell_nan_equivalence_comparison_misused,SE vs ML,2648.0,7.321184060880625e-113,2.1963552182641873e-112,***,-0.9663496057388663
fine,mlsmell_nan_equivalence_comparison_misused,mlsmell_nan_equivalence_comparison_misused,SE vs Hybrid,63910.5,2.1319340431707483e-74,6.395802129512245e-74,***,-0.6194342470770028
fine,mlsmell_nan_equivalence_comparison_misused,mlsmell_nan_equivalence_comparison_misused,ML vs Hybrid,95721.0,2.63311627208259e-13,7.899348816247771e-13,***,0.3168658040818011
fine,mlsmell_pytorch_call_method_misused,mlsmell_pytorch_call_method_misused,SE vs ML,28540.0,3.8500378145452324e-50,1.1550113443635697e-49,***,-0.637317880584307
fine,mlsmell_pytorch_call_method_misused,mlsmell_pytorch_call_method_misused,SE vs Hybrid,93491.5,5.634903219836889e-39,1.6904709659510667e-38,***,-0.4432892390233155
fine,mlsmell_pytorch_call_method_misused,mlsmell_pytorch_call_method_misused,ML vs Hybrid,87016.5,5.402100044948051e-06,1.6206300134844153e-05,***,0.19711508698074662
fine,mlsmell_tensor_array_not_used,mlsmell_tensor_array_not_used,SE vs ML,,,,,
fine,mlsmell_tensor_array_not_used,mlsmell_tensor_array_not_used,SE vs Hybrid,,,,,
fine,mlsmell_tensor_array_not_used,mlsmell_tensor_array_not_used,ML vs Hybrid,,,,,
fine,mlsmell_unnecessary_iteration,mlsmell_unnecessary_iteration,SE vs ML,121487.0,5.501242917112411e-37,1.6503728751337232e-36,***,0.5438389152576835
fine,mlsmell_unnecessary_iteration,mlsmell_unnecessary_iteration,SE vs Hybrid,218069.5,1.435517988877408e-18,4.306553966632224e-18,***,0.29853128135504403
fine,mlsmell_unnecessary_iteration,mlsmell_unnecessary_iteration,ML vs Hybrid,60610.0,0.00012587761815135642,0.00037763285445406927,***,-0.16616796329543188
